hub,league,heads,stock_out,doc_received_pct,doc_dispatched_pct,dealer_tickets,yms_pct,yms_available
Noida sec-37 Parking,A,11,1213,82.2,96.9,74,79.7,Yes
Bangalore Parking,A,6,1020,72.3,76.1,83,71.0,Yes
Metrowalk_Parking Yard,A,10,841,87.4,96.6,31,81.4,Yes
Mumbai Parking,A,11,802,66.0,92.4,47,55.8,Yes
Ahmedabad-3 Parking,A,8,648,86.7,93.6,25,85.5,Yes
Gurgaon_Parking 2,A,9,647,90.7,94.6,65,86.4,Yes
Hyderabad-2 Parking,A,9,489,94.4,98.7,9,68.8,Yes
Chennai Parking,A,8,433,80.5,97.8,9,75.5,Yes
Pune_Cars24 Parking,A,9,346,85.9,97.6,15,81.7,Yes
Kolkata-3 Parking,A,4,338,85.9,96.7,10,53.4,Yes
Chandigarh Parking,B,3,213,90.9,87.1,12,48.8,Yes
Surat-3 Parking,B,2,209,95.0,98.1,8,84.8,Yes
Lucknow Parking,B,5,201,91.0,98.6,9,81.8,Yes
Jaipur Parking-2,B,2,190,87.7,94.4,16,66.7,Yes
Patna-2 Parking,B,5,152,85.6,99.3,5,79.7,Yes
Vadodara-2 Parking,B,2,145,80.5,87.6,7,77.8,Yes
Kochi Parking,B,1,139,94.3,99.8,2,24.7,Yes
Rajkot-2 Parking,B,3,105,84.5,81.1,7,70.0,Yes
Indore Parking,B,2,99,93.3,99.7,1,61.3,Yes
Meerut Parking,B,2,85,97.1,96.3,1,94.4,Yes
Nagpur Parking,B,4,84,95.0,97.9,7,61.2,Yes
Bhubaneswar Parking,B,1,83,81.6,90.9,5,86.8,Yes
Bhopal-2 Parking,B,1,80,89.4,96.6,1,49.5,Yes
Agra Parking,B,1,67,92.0,93.1,3,63.4,Yes
Coimbatore Parking,B,1,63,63.6,90.1,0,,No
Dehradun Parking,B,1,60,91.4,96.9,0,80.0,Yes
Ranchi-2 Parking,B,2,59,90.0,99.8,0,59.3,Yes
Kanpur Parking,B,1,57,80.3,93.2,2,45.4,Yes
Raipur Parking,B,1,55,83.0,97.7,3,38.5,Yes
Nashik Parking,B,2,53,93.8,97.4,2,77.6,Yes
Trivandrum Parking,B,1,48,95.3,97.3,0,57.1,Yes
Ludhiana Parking,B,1,42,92.5,68.5,6,58.5,Yes
Gwalior Parking,B,1,40,94.9,99.7,0,82.5,Yes
Thrissur Parking,B,1,30,91.4,93.2,0,24.3,Yes
Mysore Parking,B,1,27,87.5,94.2,0,94.2,Yes
Gorakhpur Parking,B,1,27,92.9,95.1,1,84.4,Yes
Goa Parking,B,1,23,95.2,89.0,0,4.5,Yes
Salem Parking,B,1,11,100.0,100.0,0,23.8,Yes
Trichy Parking,B,1,7,100.0,100.0,0,70.0,Yes
